Date,Open,High,Low,Close,Adj Close,Volume
2013-01-28,49650.000000,52450.000000,49500.000000,52250.000000,40416.667969,8590000
2013-02-04,50700.000000,52850.000000,49700.000000,49900.000000,38598.875000,8240000
2013-02-11,49900.000000,50500.000000,49450.000000,50450.000000,39024.312500,5784000
2013-02-18,50650.000000,51450.000000,50500.000000,50550.000000,39101.671875,6914500
2013-02-25,49750.000000,50550.000000,48300.000000,49950.000000,38637.554688,8184000
2013-03-04,50000.000000,51200.000000,49550.000000,49850.000000,38560.203125,6889000
2013-03-11,49500.000000,49900.000000,47900.000000,49250.000000,38096.089844,2795008
2013-03-18,49000.000000,49000.000000,46100.000000,46100.000000,35659.484375,1342516
2013-03-25,46950.000000,49050.000000,45800.000000,48950.000000,37864.027344,16
2013-04-01,49100.000000,54100.000000,49000.000000,51650.000000,39952.546875,18
2013-04-08,51250.000000,54450.000000,49700.000000,54250.000000,41963.714844,20
2013-04-15,54250.000000,54250.000000,50000.000000,50100.000000,38753.582031,20
2013-04-22,50450.000000,51400.000000,49000.000000,50000.000000,38676.222656,19
2013-04-29,50500.000000,51750.000000,48600.000000,49950.000000,38637.554688,20
2013-05-06,50000.000000,53900.000000,49850.000000,53800.000000,41615.625000,16
2013-05-13,53800.000000,55950.000000,51850.000000,55500.000000,42930.613281,400016
2013-05-20,55400.000000,57800.000000,52100.000000,53650.000000,41499.593750,19
2013-05-27,54100.000000,56650.000000,52650.000000,53500.000000,41383.562500,834015
2013-06-03,53500.000000,54500.000000,51100.000000,51500.000000,39836.511719,16
2013-06-10,52000.000000,52300.000000,47500.000000,49400.000000,38212.117188,1284016
2013-06-17,49000.000000,51800.000000,47300.000000,47700.000000,36897.125000,20
2013-06-24,47800.000000,50600.000000,45300.000000,50600.000000,39140.347656,19
2013-07-01,49000.000000,51600.000000,48550.000000,49050.000000,37941.378906,2187504
2013-07-08,48400.000000,48550.000000,45800.000000,46050.000000,35620.800781,6331000
2013-07-15,46500.000000,47800.000000,44950.000000,46900.000000,36278.300781,7951000
2013-07-22,46800.000000,47450.000000,43850.000000,43900.000000,33957.726563,7879500
2013-07-29,43850.000000,44600.000000,41200.000000,41700.000000,32734.677734,4833500
2013-08-05,41700.000000,41700.000000,41700.000000,41700.000000,32734.677734,0
2013-08-12,41700.000000,43650.000000,39550.000000,43450.000000,34108.429688,7343500
2013-08-19,43450.000000,43450.000000,35750.000000,36000.000000,28260.154297,10311000
2013-08-26,36000.000000,38000.000000,32000.000000,37950.000000,29790.910156,7070000
2013-09-02,37500.000000,39300.000000,35300.000000,37250.000000,29241.408203,3655500
2013-09-09,37300.000000,41300.000000,37300.000000,41300.000000,32420.677734,4364500
2013-09-16,41300.000000,43900.000000,39150.000000,39800.000000,31243.166016,10689500
2013-09-23,39250.000000,39600.000000,36150.000000,36300.000000,28495.654297,9677500
2013-09-30,36000.000000,37250.000000,34900.000000,35350.000000,27749.900391,4983000
2013-10-07,35300.000000,35650.000000,34200.000000,34350.000000,26964.896484,6984500
2013-10-14,34350.000000,35150.000000,33150.000000,33850.000000,26572.390625,9548500
2013-10-21,34500.000000,37750.000000,34300.000000,37450.000000,29398.410156,18592500
2013-10-28,37450.000000,38450.000000,35700.000000,36100.000000,28338.656250,12052000
2013-11-04,35750.000000,36000.000000,34600.000000,35600.000000,27946.148438,8982000
2013-11-11,35900.000000,38200.000000,35450.000000,38000.000000,29830.160156,9466000
2013-11-18,37800.000000,38350.000000,36750.000000,37150.000000,29162.908203,7390000
2013-11-25,37150.000000,37350.000000,35700.000000,37000.000000,29045.152344,5020000
2013-12-02,37300.000000,39700.000000,36800.000000,39150.000000,30732.910156,11407500
2013-12-09,39150.000000,41600.000000,38550.000000,39400.000000,30929.166016,10778500
2013-12-16,39250.000000,41950.000000,38500.000000,41900.000000,32891.671875,6319000
2013-12-23,41250.000000,41650.000000,40350.000000,41250.000000,32381.423828,1444500
2013-12-30,41800.000000,43100.000000,41450.000000,42500.000000,33362.675781,2733500
2014-01-06,42000.000000,43050.000000,41650.000000,42500.000000,33362.675781,7646500
2014-01-13,43000.000000,45050.000000,42250.000000,45000.000000,35325.191406,5563000
2014-01-20,45300.000000,45525.000000,42050.000000,42150.000000,33087.925781,4740000
2014-01-27,41050.000000,43225.000000,39700.000000,41900.000000,32891.671875,8266200
2014-02-03,42050.000000,44500.000000,40600.000000,43900.000000,34461.683594,4665600
2014-02-10,44150.000000,44600.000000,43475.000000,43650.000000,34265.433594,4405200
2014-02-17,44000.000000,47900.000000,43575.000000,47900.000000,37601.699219,11296500
2014-02-24,47900.000000,48500.000000,46500.000000,47700.000000,37444.703125,4880600
2014-03-03,47000.000000,48275.000000,46525.000000,47200.000000,37052.203125,4650500
2014-03-10,46700.000000,49150.000000,46600.000000,49000.000000,38465.203125,4345300
2014-03-17,49000.000000,49275.000000,43600.000000,46100.000000,36188.699219,9991500
2014-03-24,46100.000000,49550.000000,45050.000000,49400.000000,38779.210938,8992900
2014-03-31,49400.000000,52100.000000,48075.000000,48900.000000,38386.707031,7977900
2014-04-07,48650.000000,51200.000000,48200.000000,49000.000000,38465.203125,5820200
2014-04-14,48600.000000,50600.000000,48600.000000,50600.000000,39721.214844,2576300
2014-04-21,51000.000000,54825.000000,50500.000000,54550.000000,42821.976563,9217400
2014-04-28,54550.000000,57600.000000,53700.000000,57300.000000,44980.746094,7440400
2014-05-05,57700.000000,57925.000000,53225.000000,56000.000000,43960.234375,9524000
2014-05-12,56500.000000,57475.000000,55200.000000,57025.000000,44764.871094,4288800
2014-05-19,57000.000000,57200.000000,53100.000000,53500.000000,41997.722656,7707800
2014-05-26,53525.000000,54400.000000,52050.000000,52050.000000,40859.472656,2472700
2014-06-02,52000.000000,54500.000000,51300.000000,54250.000000,42586.480469,3713100
2014-06-09,54250.000000,55000.000000,53400.000000,53600.000000,42076.230469,2954800
2014-06-16,52975.000000,53900.000000,52600.000000,52600.000000,41291.222656,3527900
2014-06-23,52700.000000,53500.000000,51650.000000,52950.000000,41565.972656,2321500
2014-06-30,53500.000000,53500.000000,52075.000000,53275.000000,41821.093750,3082500
2014-07-07,53400.000000,54250.000000,52125.000000,52475.000000,41193.097656,3976400
2014-07-14,52750.000000,54425.000000,52225.000000,53950.000000,42350.972656,5140100
2014-07-21,54000.000000,54475.000000,52875.000000,54200.000000,42547.230469,4500000
2014-07-28,54200.000000,54200.000000,54200.000000,54200.000000,42547.230469,0
2014-08-04,54400.000000,54750.000000,52925.000000,52950.000000,41565.972656,4170700
2014-08-11,53975.000000,55550.000000,53200.000000,54400.000000,43342.800781,3736000
2014-08-18,54500.000000,55800.000000,54300.000000,55500.000000,44219.214844,2156400
2014-08-25,55025.000000,55900.000000,53700.000000,54000.000000,43024.101563,2603600
2014-09-01,55025.000000,55525.000000,54500.000000,55000.000000,43820.847656,3404000
2014-09-08,55300.000000,55750.000000,53750.000000,55000.000000,43820.847656,3719900
2014-09-15,56000.000000,57050.000000,55000.000000,55500.000000,44219.214844,5340100
2014-09-22,56500.000000,56950.000000,55500.000000,56950.000000,45374.492188,2570200
2014-09-29,56600.000000,56950.000000,55500.000000,56500.000000,45015.957031,2928804
2014-10-06,55525.000000,56950.000000,55525.000000,56600.000000,45095.632813,2876000
2014-10-13,56600.000000,61500.000000,56375.000000,60500.000000,48202.925781,4762600
2014-10-20,59275.000000,61000.000000,55800.000000,56150.000000,44737.093750,4736100
2014-10-27,56300.000000,57750.000000,55850.000000,57750.000000,46011.890625,2598400
2014-11-03,57950.000000,62100.000000,57550.000000,61300.000000,48840.324219,4474700
2014-11-10,60800.000000,62500.000000,58800.000000,60025.000000,47824.476563,2747100
2014-11-17,60025.000000,64250.000000,59125.000000,61500.000000,48999.671875,4049400
2014-11-24,60050.000000,62500.000000,59900.000000,61175.000000,48740.722656,2574400
2014-12-01,61400.000000,61525.000000,59550.000000,59575.000000,47465.941406,2083100
2014-12-08,59600.000000,60850.000000,58500.000000,59700.000000,47565.531250,2317100
2014-12-15,58900.000000,60925.000000,57100.000000,59450.000000,47366.343750,3324200
